id,user,text,processed_text
1467834400,calihonda2001,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",blast getti villa hate sore throat day it get wors
1467834817,djwayneski,@msdrama hey missed ya at the meeting  sup mama,hey miss ya meet sup mama
1467835085,Ceejison,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",my tummi hurt i wonder hypnosi anyth if work i get stop smoke
1467835198,ItsBrigittaYo,why is it always the fat ones?! ,alway fat one
1467835305,MissLaura317,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",sorri babe my fam annoy thank asleep right muahaha evil laugh
1467835345,RU_it_girl,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,i paid attent cover photoshop webpag design class undergrad
1467835577,viviana09,wednesday my b-day! don't know what 2 do!! ,wednesday b day know
1467835880,disneyfan4eva,Poor cameron (the hills) ,poor cameron hill
1467836024,RoseMaryK,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",pray pleas ex threaten start sh babi birthday parti jerk i still headach
1467836111,perrohunter,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",hmm u realli enjoy problem constant u think thing find someon ulik
1467836448,Dogbook,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,strider sick littl puppi
1467836500,natalieantipas,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",ryle grace wana go steve parti sad sinc it easter i wnt b abl do much but ohh well
1467836576,timdonnelly,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",hey i actual one bracket pool too bad one money
1467836583,homeworld,"@stark YOU don't follow me, either  and i work for you!",you follow either work
1467836859,willy_chaz,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,a bad nite favorit team astro spartan lose the nite t w good
1467836873,LeakySpoon, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,bodi of miss northern calif girl found polic found remain miss northern california girl
1467837189,cityrat59,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",i hope increas capac fast yesterday pain got fail whale time hour
1467837384,kenandise,Behind on my classes for work ,behind class work
1467837470,annette414,watching &quot;House&quot; ,watch quot hous quot
1467837579,blackheartbunny,@kpreyes Remember my bum leg? Strikes back this time its serious ,rememb bum leg strike back time serious
1467837602,GetGary,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",cool kind complaint laptop onlin overh recal
1467837762,Dogbook,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,emili glad mommi done train new job she miss
1467837819,SimoniNicole,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,would rather first parti send bad messag parti send mix one sophmor year
1467837888,wireandroses,@Henkuyinepu it's overrated ,overr
1467838188,jess_higley,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,know i heard afternoon wonder thing moscow behind time
1467838189,missannabanana,laying in bed with no voice.. ,lay bed voic
1467838362,Zella17,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,i sooo sad kill kutner hous whyyyyyyyy
1467838419,polarna10,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,sorri tell mea culpa i realli sorri
1467838433,megan_rice,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",make sens suicid thing i refus believ actual happen
1467838630,ashleyirvin,@salancaster  hope your ok.,hope ok
1467839007,eyezup,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,damn the grind inspir sadden time don want stop cuz i like u much love
1467839405,Jonas_Dreamgirl,@HibaNick yeah aw but i know i wudnt stand a chance ,yeah aw know wudnt stand chanc
1467839450,BreannaBonana,ugh. cant sleep. its 1:30am. ,ugh cant sleep
1467839477,becklyn13,Hanging in Crooners. Wanna sing. Can't. Sucks. ,hang crooner wan na sing can suck
1467839586,sonyolmos,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,aaw miss ya im leav bh tomorrow quot morn quot think aww wan na go beach w u girl
1467839737,JenBah,Is pissed off that there's no ASBA's for a radio station. ,is piss asba radio station
1467839816,viviana09,wednesday my b-day n don't know what 2 do!  ,wednesday b day n know
1467840016,BustaBusta,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,i know life flip upsid i thought head ramen sound good
1467840386,MadameCrow,I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,i pain my back side hurt not mention cri made fail
1467840552,weefranniev,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",late night snack glass oj b c i quot sick quot back sleep ugh i hate get sick
1467840629,ikimmyy,@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,i big fan camilla bell
1467841189,yolie81,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",wah i see clip must el stupido work filter can wait till i get puter someth els blame ex he broke mine
1467841204,spacks,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,this week seem get longer longer term much i need much i actual go get done
1467841832,bgoers,I'm so cold ,i cold
1467841885,MissPassion,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,ehhh weather gon na take turn ugli tomorrow
1467841897,aaronrothe,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,haha cooooold still go show incred stuff
1467841969,ilikeoreos,Hoping the tummy rumbles go away soon ,hope tummi rumbl go away soon
1467842107,wiccabuffy,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",no notic they told i work tomorrow i call agenc follow said
1467842299,HiKeri,almost bedtime ,almost bedtim
1467842377,bnr0201,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,i miss babe long aliv i happi yawwwnn i tire love imma tri sleep hope headstart
1467842448,R_Boucher,Agh...snow!!! ,agh snow
1467842568,josiahmcdermott,i miss kenny powers ,miss kenni power
1467842607,VanessaSingline,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",thank let peopl know i sad direct messag i got actual bridget
1467842832,varunkumar,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",india miss test victori n consecut win without loss
1467842837,JenniOnTheBlock,@JonathanRKnight I guess that's a no then. ,i guess
1467843075,darkninja757,sadly is going to bed. ,sad go bed
1467843215,mikecogh,@ozesteph1992 Shame to hear this Stephan ,shame hear stephan
1467843470,KandiConnection,@mrsaintnick hey! i'm leavin in the morning... ,hey leavin morn
1467843568,joechummer,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",was intend finish edit page novel manuscript tonight probabl happen and page left
1467843624,kellireneez,laid around too much today... now my head hurts ,laid around much today head hurt
1467843647,treehugger25,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,i still read amp princess diari save francesca made cri end hmm easi book
1467843734,chatpataa,my nokia 1110 died..  ,nokia die
1467843740,ThisStoutjunt,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,my mom might breast cancer find anyth like week i worri
1467844097,sew_cute,Going to sleep. Hoping tomorrow is a better day. ,go sleep hope tomorrow better day
1467844140,Twokids1,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,lol wish understood daylight save end though breakfast hour later they keep wake kid
1467844157,AKyarnie,@onemoreproject that is lame ,lame
1467844505,luimoral85,I don't understand... I really don't ,i understand i realli
1467844540,ceironous,HEROES just isn't doing it for me this season... ,hero season
1467844907,brandonmcb,Living not downtown sure isn't much fun.  ,live downtown sure much fun
1467845095,mannyrique,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,not calori wise i wish junk food calori free i ate thing sour skittl big ass cherri coke
1467845157,styletrain,Man Work is Hard ,man work hard
1467852031,kscud,"getting sick  time for some hot tea, studying, and then sleeeep",get sick time hot tea studi sleeeep
1467852067,kirstenj0y,Getting eyebrows waxed. More pain ,get eyebrow wax more pain
1467852789,marculus,No phantasy star yesterday  going to work...,no phantasi star yesterday go work
1467853135,andrewofthediaz,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,oh just got macheist app sweet didn get espresso serial though although said sent oh well
1467853356,dbmendel,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too ,pick mich st win get go was feel pretti good pick way tonight a lost
1467853431,erks,is alone downstairs...working ,alon downstair work
1467853479,ringleaderkanon,I feel bad for doing it ,i feel bad
1467854062,babibabs,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",hate anoop mean serious kinda mean
1467854345,ace587,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,yes sprint baltimor chicago far
1467854706,ktribb80,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,i stuck awak middl night second day row and i felt terribl yesterday
1467854917,OliviaFox,Thanks for bursting my bubble ,thank burst bubbl
1467855673,IluvJoelMadden,Going to school soon... can't find anything to wear!! gosh it's so hard ,go school soon find anyth wear gosh hard
1467855812,easyausguy,@marieclr I was serious  LOL,i serious lol
1467855981,Hollywood_Trey,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,i page sooooo long until got delet sad day histori
1467856044,EcoTravelTV,Crazy wind today = no birding  http://ff.im/1XTTi,crazi wind today bird
1467856352,AshaleaMay,currently at work.. ,current work
1467856426,AthenaA42,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,grrr ipod act weird jai ho think play full song ughh
1467856497,Missy__,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,send dvd cos i miss heap not happi
1467856632,BrettFair,i don't see the big deal with this website ,see big deal websit
1467856821,mydwynter,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail,i sorri go again therapyfail
1467856919,jhenkens,@ColinDeMar Far too out of the way for rail.  any other tips?,far way rail tip
1467857221,sarah_katie,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.,i still i swear whi i keep lose gain lose gain tweep so heart wrench
1467857297,amanda5280,"Today I realized I am too good at hiding things, even I can't find it ",today i realiz i good hide thing even i find
1467857378,Shabbybebe,"Staying at a friends house...house sitting, neighbors are SO loud-having a party ",stay friend hous hous sit neighbor so loud parti
1467857511,fatkat309,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,danni im upset wasnt watch live chat car hour trip im soooo upset
1467857722,blackheartbunny,Check out my mug  http://www.erika-obscura.blogspot.com,check mug
1467857975,szrhnds602,Borders closed at 10 ,border close
1467858363,schammy,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days ,download nin new album quot slip quot hell come i behind time day
1467858627,mariotani,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! ,just woke alreadi written e mail i go earli univers today i teach am
1467858869,Jaderade14,is watching the hill . . .and its making me sad ,watch hill make sad
1467859025,LeeseEllen,So many channels.... yet so so boring... lazy day again  may have to find a hobby,so mani channel yet bore lazi day may find hobbi
1467859066,FNFKayCee,@supersport I miss my buddy  ill be in NY on the 25th,i miss buddi ill ny
1467859408,CaddyStage,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,love french i tell peopl south qtr french snarl french beauti peopl
1467859436,ha_nobita,Opps.. As I said.. I still got one day remain and now problem come ,opp as i said i still got one day remain problem come
1467859558,tchviolin,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb",i activ selfcontrol block earli mean i check new qc regular intern clock might difficult fb
1467859666,DreamActivist23,@HillyDoP  oH NO,oh no
1467859820,msbutt3rfly14,spencer is not a good guy. ,spencer good guy
1467859922,Karmatical,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.",what rees die ttsc and season final next week bore madam presid crazi woman
1467860144,Jana1976,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,sheï¿½s not well ",i hate limit letter hope guy fine i pray dog well
1467860268,AmyJade,didn't get shit done today ~ i'm so screwed ,get shit done today screw
1467860895,tantrixie,wanttss to go out ,wanttss go
1467860904,supersharayah,Is not going to sleep tonite. ,is go sleep tonit
1467861095,bluepaintred,too worried and tired to post tonight ,worri tire post tonight
1467861413,AmyJade,couldn't get shit done today ~ i'm so screwed ,get shit done today screw
1467861522,bovinemammal,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep ",job interview cardiff today wish luck got hour sleep
1467861571,jessejoseph,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*(",your show whack way wors whack wiggeti whack
1467862213,lennytoups,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now,i realli think peopl choos way but i think chose accept famili help he might dead
1467862313,paulverhoeven,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. ",you go kill i seen i wait till i one solid week sit
1467862355,Britty88,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! ,think ur right hahaha hrs
1467862411,stephaniekmusic,i hate to see the spartans so sad ,hate see spartan sad
1467862710,Jemimus,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot ,my mind bodi sever protest quot get quot thing had nightmar boot
1467862806,Sweetpineapple,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!",i goin follow u sinc u lol go angel
1467863072,Artiel87,@mandayyy ,
1467863415,treehugger25,@twista202 I think I want to read some books but the library doesn't have them ,i think i want read book librari
1467863507,Mirlina,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...,my nap interrupt mani time today go japanes rent
1467863508,g_rose86,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. ,kind long bus show end ghost world right ugh
1467863633,omgseriouslywtf,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.,canada canada weird suppos get snow wednesday ugh
1467863684,DjGundam,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,awwh bab look sad underneith shop entranc quot yesterday musik quot o i like look new transform movi
1467863716,stacyc37,sad that the 'feet' of my macbook just fell off ,sad feet macbook fell
1467864250,Alp0,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad ,i gon na get late tomorrow i gon na get tipsi lonesom that sad
1467870864,TheDCD,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  ",i sweat forthcom trip if i find someon crash i i may screw
1467870866,DrewKatavich,"Has now gotten somebody to read his tweets, but cant get them to make an account. ",has gotten somebodi read tweet cant get make account
1467871007,tinyvamp,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:,omgawd couldnt handl cat heat time d d
1467871040,MTLarson1224,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me ,i hope make auburn show look good
1467871223,vcf2,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,that peopl mag haha couldnt fit dont think pictur ever made magazin tho haha
1467871226,thinkingmama,@breadandbadger Congrats!!  i totally forgot to submit photos ,congrat total forgot submit photo
1467871545,Cherye101,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",awww good luck paula pleas work hard i hope fun your new album gon na amaz xxx
1467871552,nataleyritter,@imaginarypeach now your leaving me  .... -gets sad-,leav get sad
1467871661,ciairuhh,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. ",i miss twitter my phone broke i use stupid nokia phone ughhh i miss advanc phone
1467871754,sarahdesjardins,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED ,shoot outsid my hous o not kid so scare
1467871844,larsgunnarf,Tuesdayï¿½ll start with reflection ï¿½n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers ,tuesday start reflect n lectur stress reduc techniqu that sure might becom use us accompani
1467871917,Lvonhusen,What tragedy and disaster in the news this week ,what tragedi disast news week
1467871956,TimelessAKA,yes yes still trying to find a picture that will upload correclty.. ,yes yes still tri find pictur upload correclti
1467872136,jinnah,Why oh why was the Red Sox game rained out? I was so looking forward to opening day ,whi oh red sox game rain i look forward open day
1467872175,edsed,I still can't find my keys. ,i still find key
1467872181,admdrw,@charlietm I know right. I dunno what is going on with twitter. ,i know right i dunno go twitter
1467872218,Loreinski,might be getting a sore throat again ,might get sore throat
1467872247,OhShayLaVie,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!,home town my mammi call depressd pls explain parent let old child walk alon hello it
1467872309,dossy,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ,i think i need find better anti depress i think paxil wellbutrin combo lose efficaci
1467872355,bigwillthechamp,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd ,restaur call woodntap competit eat tourney round tourney time we place
1467872594,MalloryLe,is in the bathroom... wake up lakin. ,bathroom wake lakin
